Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month)
2008-11-02 21:33:44,1225632824.0,vz,17.552139,5.26,79.804276,10.53,84280000000.0,127380000000.0,13.56,10.83,1.7,0.9,1.7,1.32,3.955,6.49,18.35,5.67,12.45,96550000000.0,33.752,4.1,55920000000.0,32200000000.000004,6270000000.0,2.19,31.3,1670000000.0,0.589,44780000000.0,0.879,0.677,17.938,27370000000.0,3700000000.0,0.86,30.0,34.48,19325800.0,2840000000.0,2820000000.0,0.02,63.5,28290000.0,1.1,1.0,31810000.0
2012-10-24 21:51:21,1351086681.0,vz,34.875725,19.05,126.666946,26.92,126230000000.0,168270000000.0,40.88,15.47,1.59,1.1,3.34,1.47,5.3,2.7,13.32,4.14,13.62,114240000000.0,40.13,3.9,65000000000.0,31720000000.0,3080000000.0,1.08,15.5,10310000000.0,3.61,52800000000.0,57.0,0.96,13.19,33030000000.0,2160000000.0,0.45,45.18,43.12,13171500.0,2850000000.0,2850000000.0,0.01,54.5,48250000.0,3.5,1.7,43410000.0
2007-05-29 16:49:14,1180428554.0,vz,23.741819,-8.51,121.760048,-6.72,124530000000.0,154620000000.0,20.65,16.31,3.0,1.38,2.53,1.73,5.165,6.77,16.48,5.29,12.15,89500000000.0,30.75,6.4,53150000000.0,29940000000.0,5680000000.0,2.08,-8.4,3450000000.0,1.188,34680000000.0,0.711,0.641,16.804001,22560000000.0,4460000000.0,0.65,40.18,37.85,13176200.0,2900000000.0,2900000000.0,0.14,61.7,33520000.000000004,3.2,1.2,29540000.0
2011-09-02 15:03:39,1314947019.0,vz,26.353117,27.08,103.102608,22.32,101140000000.0,148720000000.0,16.03,13.74,1.86,0.95,2.58,1.39,4.23,5.91,17.57,5.24,16.23,107400000000.0,37.95,2.8,62420000000.0,35170000000.0,6350000000.0,2.23,N/A,6830000000.0,2.41,53980000000.0,59.51,0.82,13.9,29350000000.0,6270000000.0,0.53,35.68,36.5,18105200.0,2830000000.0,2820000000.0,0.01,54.0,47810000.0,2.1,1.7,42250000.0
2012-04-22 04:43:53,1335041033.0,vz,29.869682,40.84,122.616142,15.73,109820000000.0,151020000000.0,45.56,13.93,1.44,0.98,3.01,1.36,4.27,2.17,16.99,5.23,11.8,110880000000.0,39.14,7.7,65000000000.0,35330000000.0,2400000000.0,0.85,N/A,13950000000.0,4.92,55150000000.0,64.2,1.01,12.69,29780000000.0,11760000000.0,0.39,38.59,37.99,14696000.0,2840000000.0,2830000000.0,0.01,54.1,42800000.0,2.5,1.5,43200000.0
2012-01-01 14:15:14,1325398514.0,vz,30.146585,13.18,111.063309,15.99,113580000000.0,157640000000.0,16.13,15.73,1.52,1.04,2.9,1.45,3.87,6.49,22.35,6.77,17.5,108830000000.0,38.44,5.4,62420000000.0,40720000000.0,7070000000.0,2.49,109.3,10860000000.0,3.84,54920000000.0,62.75,0.8,13.79,29760000000.0,14660000000.0,0.52,37.94,36.66,14027700.0,2830000000.0,2820000000.0,0.01,54.0,43280000.0,3.3,1.5,40130000.0
2012-06-20 20:46:19,1340196379.0,vz,33.394207,18.18,121.044655,19.65,123020000000.0,169290000000.0,46.46,15.52,1.62,1.11,3.39,1.51,4.69,2.36,17.46,5.43,12.23,112130000000.0,39.54,4.6,65000000000.0,36080000000.0,2650000000.0,0.93,17.2,6540000000.0,2.3,51600000000.0,58.35,1.03,12.91,30700000000.0,9130000000.0,0.4,41.58,39.35,14669700.0,2840000000.0,2840000000.0,0.01,53.9,43850000.0,3.6,1.6,43800000.0
2005-02-25 16:05:48,1109318748.0,vz,17.254591,-1.95,93.332367,8.45,99570000000.0,133020000000.00002,13.88,13.47,2.76,1.38,2.62,1.87,4.92,10.19,18.4,4.44,20.7,71280000000.0,25.371,N/A,45970000000.0,27030000000.0,7260000000.0,2.59,N/A,4550000000.0,1.64,39270000000.0,1.045,0.842,13.56,N/A,N/A,1.043,38.02,38.39,7653954.0,2770000000.0,2740000000.0,1.0,53.46,21880000.0,2.17,0.8,20410000.0
2005-01-17 01:53:02,1105897982.0,vz,17.559642999999998,-10.29,90.880516,10.45,102010000000.0,140930000000.0,17.3,14.01,2.94,1.46,2.92,2.01,5.41,8.47,17.47,3.63,17.45,70160000000.0,25.026,N/A,45970000000.0,26030000000.0,5940000000.0,2.129,N/A,1600000000.0,0.58,40520000000.0,1.152,0.767,12.703,N/A,N/A,1.003,40.85,38.53,6847409.0,2770000000.0,2740000000.0,1.0,57.93,16410000.0,2.899,0.6,18950000.0
2007-04-29 10:38:55,1177814335.0,vz,20.823559,4.81,119.592636,-4.8,110260000000.0,140960000000.0,17.87,14.74,3.26,1.25,2.28,1.6,4.773,7.03,16.13,5.25,12.42,88140000000.0,30.269,31.8,53150000000.0,29530000000.0,5480000000.0,2.12,-37.8,5650000000.0,1.943,36360000000.0,0.749,0.698,16.67,24110000000.0,9420000000.0,0.61,37.42,37.03,11408300.0,2910000000.0,2910000000.0,0.14,60.9,33520000.000000004,3.2,1.2,29540000.0
2004-06-28 23:14:22,1088435662.0,vz,16.637048999999998,0.41,86.173737,8.02,99620000000.0,141050000000.0,35.85,14.1,2.58,1.45,2.96,2.06,7.07,4.09,9.18,1.68,8.13,68400000000.00001,24.546,N/A,45970000000.0,19960000000.0,2800000000.0,1.003,N/A,2490000000.0,0.9,44450000000.0,1.327,0.689,12.091,N/A,N/A,0.973,36.33,35.47,6291454.0,2770000000.0,2740000000.0,1.0,55.3,18700000.0,2.943,0.68,17060000.0
2011-11-19 05:42:29,1321652549.0,vz,27.396427000000006,19.16,107.267929,14.19,103220000000.0,147960000000.0,14.66,14.3,1.65,0.95,2.66,1.36,3.63,6.49,22.35,6.77,17.5,108830000000.0,38.44,5.4,62420000000.0,40720000000.0,7070000000.0,2.49,109.3,10860000000.0,3.84,54920000000.0,62.75,0.8,13.79,29760000000.0,14160000000.0,0.42,36.9,36.36,16528600.0,2830000000.0,2820000000.0,0.01,54.0,41270000.0,2.5,1.5,46920000.0
2003-10-03 01:05:53,1065114353.0,vz,15.113293,23.89,77.60674300000002,11.7,91730000000.0,138110000000.0,9.11,13.97,4.7,1.34,2.66,2.04,4.81,14.58,22.5,5.85,30.27,67620000000.00001,24.437,N/A,67620000000.00001,28740000000.0,9870000000.0,N/A,N/A,1730000000.0,0.63,48930000000.0,1.43,0.632,12.42,N/A,N/A,0.973,35.14,36.85,7320136.0,2760000000.0,2730000000.0,1.0,53.67,16450000.0,2.725,0.6,18740000.0
2004-04-14 16:43:18,1081932198.0,vz,17.155228,-1.95,85.814934,4.1,103020000000.0,145360000000.0,29.48,14.76,6.83,1.52,3.07,2.15,6.89,5.18,11.06,2.09,10.25,67750000000.0,24.367,N/A,67620000000.00001,21110000000.0,3510000000.0,1.262,N/A,2870000000.0,1.04,45380000000.0,1.356,0.688,12.084,N/A,N/A,1.014,37.55,35.5,6608681.0,2770000000.0,2740000000.0,1.0,54.21,23700000.0,3.362,0.86,15380000.0
2003-12-08 15:05:01,1070867101.0,vz,14.958208,30.62,80.744354,11.89,92010000000.0,136580000000.00002,12.74,14.09,6.4,1.36,2.63,2.02,5.25,10.72,18.36,4.31,21.4,67620000000.00001,24.329,N/A,67620000000.00001,26020000000.0,7260000000.0,2.615,N/A,1110000000.0,0.4,45460000000.0,1.294,0.64,12.72,N/A,N/A,0.946,32.66,35.47,7814681.0,2760000000.0,2730000000.0,1.0,54.13,17050000.0,2.115,0.62,13850000.0
2007-10-24 16:35:58,1193214958.0,vz,24.885719,-37.62,122.251602,-38.19,127040000000.0,160230000000.0,20.79,16.33,2.59,1.43,2.61,1.76,5.403,6.75,16.82,5.18,12.9,90880000000.0,31.248,6.3,53150000000.0,29660000000.0,6100000000.0,2.11,4.5,2360000000.0,0.812,32530000000.0,0.653,0.696,17.167999,23550000000.0,5940000000.0,1.04,44.03,42.07,12101800.0,2900000000.0,2900000000.0,0.01,63.0,20530000.0,2.0,0.7,23670000.0
2008-12-20 19:10:18,1229771418.0,vz,19.634489,4.94,73.273483,27.86,94280000000.0,137380000000.0,15.17,12.25,1.98,0.98,1.86,1.42,4.266,6.49,18.35,5.67,12.45,96550000000.0,33.752,4.1,55920000000.0,32200000000.000004,6270000000.0,2.19,31.3,1670000000.0,0.589,44780000000.0,0.879,0.677,17.938,27370000000.0,3700000000.0,0.72,31.18,32.95,22826300.0,2840000000.0,2820000000.0,0.02,62.3,30650000.0,1.2,1.1,26140000.0
2007-03-11 21:08:19,1173618499.0,vz,19.818768,-1.87,112.149643,-7.4,106070000000.0,136770000000.00002,17.19,14.13,3.1,1.2,2.19,1.55,4.631,7.03,16.13,5.25,12.42,88140000000.0,30.269,31.8,53150000000.0,29530000000.0,5480000000.0,2.12,-37.8,5650000000.0,1.943,36360000000.0,0.749,0.698,16.67,24110000000.0,9420000000.0,0.66,37.66,36.67,11690200.0,2910000000.0,2910000000.0,0.14,60.8,30830000.0,2.9,1.1,38020000.0
2004-12-09 07:57:30,1102550250.0,vz,19.448898,-21.06,91.195282,7.78,114500000000.0,153530000000.0,19.42,15.55,3.15,1.63,3.26,2.19,5.9,8.47,17.47,3.63,17.45,70160000000.0,25.026,N/A,45970000000.0,26030000000.0,5940000000.0,2.129,N/A,1600000000.0,0.58,40520000000.0,1.152,0.767,12.703,N/A,N/A,0.969,40.74,38.26,7345500.0,2770000000.0,2740000000.0,1.0,57.85,18950000.0,2.502,0.69,19030000.0
2007-06-29 14:18:11,1183097891.0,vz,22.626175,-12.87,120.830994,-13.51,119360000000.0,150470000000.0,19.79,15.57,2.57,1.33,2.44,1.68,5.026,6.77,16.48,5.29,12.15,89500000000.0,30.75,6.4,53150000000.0,29940000000.0,5680000000.0,2.077,-8.4,3450000000.0,1.188,34680000000.0,0.711,0.641,16.804001,22560000000.0,4460000000.0,0.86,42.519,39.5336,12751400.0,2900000000.0,2900000000.0,0.14,61.7,47120000.0,3.6,1.6,43390000.0
2007-05-02 00:44:15,1178037855.0,vz,21.76333,3.9,119.600624,-3.79,112060000000.0,141810000000.0,18.17,14.98,3.26,1.26,2.29,1.61,4.802,7.03,16.13,5.25,12.42,88140000000.0,30.269,31.8,53150000000.0,29530000000.0,5480000000.0,2.12,-37.8,5650000000.0,1.943,36360000000.0,0.749,0.698,16.67,24110000000.0,9420000000.0,0.61,37.49,37.04,11422600.0,2910000000.0,2910000000.0,0.14,60.9,33520000.000000004,3.2,1.2,29540000.0
2006-06-17 09:12:49,1150506769.0,vz,16.476055,43.4,98.317375,25.06,94930000000.0,134050000000.00002,12.66,12.1,4.5,1.18,2.1,1.68,4.438,9.13,18.98,5.7,17.68,79680000000.0,28.43,25.1,49640000000.0,30200000000.0,7310000000.0,2.571,-7.1,3930000000.0,1.346,43050000000.0,0.962,0.603,15.348,24130000000.0,7220000000.0,0.82,31.8314,32.3961,10019300.0,2920000000.0,2910000000.0,0.7,59.7,20380000.0,2.3,0.7,22610000.0
2007-07-03 16:01:29,1183449689.0,vz,23.148273,-11.48,122.36521100000002,-15.5,121480000000.0,151950000000.0,20.14,15.85,2.42,1.35,2.47,1.7,5.076,6.77,16.48,5.29,12.15,89500000000.0,30.75,6.4,53150000000.0,29940000000.0,5680000000.0,2.08,-8.4,3450000000.0,1.188,34680000000.0,0.711,0.641,16.804001,22560000000.0,4460000000.0,0.9,42.51,39.64,12720900.0,2900000000.0,2900000000.0,0.14,61.7,47120000.0,3.6,1.6,43390000.0
2013-09-06 01:19:11,1378401551.0,vz,37.732414,12.6,151.664505,23.5,133470000000.0,184190000000.0,85.42,14.48,1.64,1.13,3.93,1.56,5.68,1.32,13.42,4.42,13.99,118260000000.0,41.31,4.3,69570000000.0,32450000000.000004,1560000000.0,0.55,23.1,2410000000.0,0.84,49750000000.0,57.08,0.75,11.9,33360000000.0,2820000000.0,0.23,48.97,49.77,11580200.0,2860000000.0,2860000000.0,0.02,57.1,46710000.0,5.6,1.6,46900000.0
2013-02-06 09:42:13,1360114933.0,vz,35.697113,8.85,136.7379,19.78,127400000000.0,175820000000.0,145.15,14.19,2.01,1.1,3.84,1.52,5.94,0.76,11.36,3.61,12.32,115850000000.0,40.6,5.7,65000000000.0,29620000000.0,875000000.0,0.31,N/A,3560000000.0,1.25,51990000000.0,60.78,0.79,11.6,31490000000.0,-1040000000.0,0.35,43.35,44.05,13749300.0,2860000000.0,2860000000.0,0.01,54.5,48110000.0,3.5,1.7,47680000.0
2013-04-25 05:46:09,1366839969.0,vz,42.899429,-9.86,144.03346299999995,19.89,148460000000.0,195200000000.0,129.82,16.39,2.24,1.28,4.5,1.67,6.19,0.98,12.79,4.17,13.07,117020000000.0,40.93,4.2,69570000000.0,31520000000.0,1140000000.0,0.4,15.8,6140000000.0,2.14,52880000000.0,60.38,0.8,11.62,33060000000.000004,3600000000.0,0.34,49.45,45.46,13784400.0,2870000000.0,2860000000.0,0.02,56.2,57640000.0,4.5,2.0,60960000.0
2005-05-27 22:34:02,1117204442.0,vz,17.095436,-6.73,92.788475,8.65,98120000000.0,134300000000.00002,11.86,13.13,3.07,1.35,2.58,1.86,4.121,11.59,25.74,7.1,21.92,72410000000.0,26.142,N/A,48120000000.0,32590000000.000004,7840000000.0,2.99,N/A,2710000000.0,0.98,39190000000.0,1.032,0.735,13.725,N/A,N/A,0.859,N/A,N/A,7340260.0,2770000000.0,2770000000.0,0.09,56.8,24840000.0,2.7,0.9,20990000.0
2011-04-25 20:49:06,1303735746.0,vz,27.05916,12.58,116.339935,4.91,104610000000.0,149970000000.0,41.1,14.06,1.73,0.98,2.71,1.41,4.29,2.39,17.42,5.19,11.95,106560000000.0,37.66,-2.6,62420000000.0,34970000000.0,2550000000.0,0.9,146.9,7210000000.0,2.55,52790000000.0,60.74,0.73,13.64,33360000000.0,15210000000.0,0.59,37.06,35.03,16671500.0,2830000000.0,2820000000.0,0.01,54.0,43890000.0,2.4,1.6,36810000.0
2006-04-27 11:39:37,1146109177.0,vz,16.870998,23.43,102.894806,16.23,96820000000.0,132560000000.0,12.5,12.3,4.38,1.29,2.3,1.77,4.512,9.85,19.37,5.74,19.15,75110000000.0,27.155,5.8,49640000000.0,29380000000.0,7400000000.0,2.65,-45.4,3270000000.0,1.119,39010000000.0,0.983,0.656,14.359,22010000000.0,6780000000.0,0.75,33.81,32.13,11173800.0,2930000000.0,2920000000.0,0.14,56.7,20770000.0,1.8,0.7,26240000.0
2012-03-24 04:02:39,1332532959.0,vz,30.005884,30.32,124.127205,13.9,111780000000.0,153650000000.0,46.38,14.18,1.28,1.01,3.12,1.39,4.35,2.17,16.99,5.23,11.8,110880000000.0,39.14,7.7,65000000000.0,35330000000.0,2400000000.0,0.85,N/A,13950000000.0,4.92,55150000000.0,64.2,1.01,12.69,29780000000.0,11760000000.0,0.41,38.65,37.72,14105000.0,2840000000.0,2830000000.0,0.01,54.1,44730000.0,3.7,1.6,38850000.0
2008-01-23 16:07:51,1201075671.0,vz,21.541901,-15.97,108.604774,-36.69,105790000000.0,138880000000.0,19.43,13.61,2.91,1.19,2.2,1.51,4.587,5.95,17.25,5.35,12.15,92200000000.0,31.735,5.8,53150000000.0,30280000000.0,5830000000.0,1.88,-33.9,1910000000.0,0.66,31450000000.0,0.633,0.705,17.191,23290000000.0,6850000000.0,1.11,43.38,43.18,13599000.0,2890000000.0,2890000000.0,0.03,62.1,31000000.0,3.1,1.1,28400000.0
2005-04-03 21:33:08,1112535188.0,vz,16.773176,2.68,90.612473,12.43,97470000000.0,132190000000.0,13.53,13.23,3.09,1.38,2.62,1.85,4.89,10.19,18.4,4.44,20.7,71280000000.0,25.371,N/A,48120000000.0,27030000000.0,7260000000.0,2.6,N/A,4550000000.0,1.64,39270000000.0,1.045,0.842,13.56,N/A,N/A,1.014,35.86,38.38,8128727.0,2770000000.0,2740000000.0,1.0,57.43,23280000.0,2.832,0.85,21880000.0
2005-04-27 12:08:14,1114574894.0,gme,9.204263,93.5,89.238968,15.3,1250000000.0,1120000000.0,22.61,14.81,0.84,0.68,2.3,0.61,8.2,3.31,5.38,6.94,10.7,1840000000.0,31.885,N/A,514200000.00000006,136170000.0,60930000.0,1.09,N/A,170990000.0,3.36,36520000.0,0.067,1.351,10.683,N/A,N/A,0.996,21.2,19.4,514181.0,50890000.0,9300000.0,81.73,45.88,3820000.0,7.282,41.03,3900000.0
2007-03-12 20:00:18,1173700818.0,gme,20.624018,70.96,112.316925,-4.22,4150000000.0000005,4820000000.0,37.86,20.26,1.0,0.88,3.33,1.03,12.284,2.42,5.78,5.95,10.07,4680000000.0,63.212,89.4,872030000.0,392280000.0,113460000.0,1.45,N/A,180950000.0,2.386,889240000.0,0.721,1.305,16.271999,220450000.0,85170000.0,1.34,53.53,51.8,1029670.0,75840000.0,65819999.99999999,15.5,124.6,3030000.0,2.9,4.2,9490000.0
2013-05-21 06:58:47,1369090727.0,gme,29.033175,3.3,151.89296000000004,15.42,4570000000.0,4050000000.0,N/A,10.48,1.24,0.53,2.06,0.46,4.95,-3.04,7.19,8.9,-10.13,8890000000.0,70.31,-0.5,2650000000.0,818000000.0,-269700000.0,-2.13,49.5,635800000.0,5.4,0.0,N/A,1.17,19.34,632400000.0,505510000.0,1.01,34.22,27.53,2940490.0,117840000.0,115180000.0,0.81,136.1,38890000.0,11.0,46.0,43800000.0
2004-09-28 01:55:00,1096307700.0,gme,6.687853,84.76,84.87730400000002,11.53,1010000000.0,868150000.0,16.47,12.99,0.78,0.62,1.71,0.52,6.25,3.87,6.36,7.7,11.15,1670000000.0,28.012,N/A,436570000.0,138860000.0,64599999.99999999,1.088,N/A,159750000.0,2.84,0.0,0,1.746,10.661,N/A,N/A,0.95,16.34,16.63,202818.0,56320000.0,20100000.0,64.31,39.43,2530000.0,11.439,12.58,2320000.0
2013-04-22 01:30:37,1366565437.0,gme,25.670437,33.68,141.898209,22.74,3860000000.0,3220000000.0,N/A,8.89,1.04,0.43,1.69,0.36,3.94,-3.04,7.19,8.9,-10.13,8890000000.0,70.31,-0.5,2650000000.0,818000000.0,-269700000.0,-2.13,49.5,635800000.0,5.4,0.0,N/A,1.17,19.34,632400000.0,505510000.0,0.99,27.77,25.44,3150490.0,117840000.0,115040000.0,0.81,136.1,43090000.0,16.9,51.0,42150000.0
2007-04-04 22:40:49,1175697649.0,gme,24.810505,71.01,115.04985,-2.88,5020000000.0,5260000000.0,32.98,18.53,0.93,0.95,3.67,0.99,11.242,2.98,6.4,7.1,12.71,5320000000.0,35.477,38.2,872030000.0,467770000.0,158250000.0,1.0,52.7,652400000.0,4.284,855900000.0,0.622,1.325,9.034,N/A,N/A,1.32,27.76,26.8,2167590.0,152300000.0,132190000.0,15.5,124.8,5590000.0,3.2,6.8,6050000.0
2012-11-04 02:12:01,1351966321.0,gme,18.41707,140.31,127.152008,27.65,2940000000.0,2800000000.0,10.02,6.94,1.09,0.32,1.05,0.31,3.5,3.55,6.78,8.88,11.14,9080000000.0,67.44,-11.1,2680000000.0,799500000.0,322100000.0,2.38,-32.0,138700000.0,1.12,0.0,N/A,1.17,22.4,676600000.0,549800000.0,1.14,22.61,19.86,3308510.0,123430000.0,121130000.0,0.81,4.1,44270000.0,14.4,52.4,45050000.0
2007-12-21 22:09:27,1198246167.0,gme,46.228191,-59.97,120.18251,-39.03,9890000000.0,10290000000.0,43.89,29.12,1.86,1.53,5.98,1.58,18.342,3.5,6.63,8.08,15.72,6530000000.0,41.881,59.3,1470000000.0,561150000.0,228290000.0,1.4,282.9,277810000.0,1.726,574230000.0,0.344,1.286,10.377,428180000.0,212900000.0,1.35,56.4,49.22,3125810.0,160970000.0,145110000.0,6.6,84.7,2890000.0,1.3,1.9,2009999.9999999998
2009-05-30 20:15:01,1243685701.0,gme,18.769625,-8.66,77.429688,20.57,4110000000.0000005,4370000000.0,10.3,7.97,0.53,0.43,1.6,0.49,5.168,4.53,7.78,10.88,18.43,8970000000.0,54.763,9.2,2270000000.0,846070000.0,406590000.0,2.42,13.4,230260000.0,1.399,495570000.0,N/A,1.242,14.711,N/A,N/A,1.19,27.82,25.49,5004470.0,164620000.0,154390000.0,6.67,91.6,11740000.0,3.0,7.6,11010000.0
2012-12-24 00:30:38,1356280238.0,gme,19.970604,105.43,128.76843300000002,31.1,3100000000.0,2730000000.0,N/A,7.41,0.86,0.36,1.51,0.31,3.46,-4.0,6.84,7.78,-14.1,8900000000.0,68.14,-8.9,2680000000.0,789300000.0,-356100000.0,-2.73,N/A,366400000.0,3.02,0.0,N/A,1.07,17.35,617400000.0,486890000.0,1.17,25.79,21.06,3172220.0,121180000.0,118800000.0,0.81,4.1,43000000.0,11.9,50.9,43860000.0
2012-03-16 04:45:49,1331844349.0,gme,17.841267000000006,12.6,124.704887,13.54,3250000000.0,2890000000.0,8.54,7.53,1.01,0.33,1.1,0.3,3.48,4.17,6.65,7.55,14.03,9660000000.0,67.42,2.5,2540000000.0,831100000.0,403000000.0,2.79,-1.5,442600000.0,3.24,124700000.0,4.21,1.06,21.41,886500000.0,636650000.0,1.01,23.54,23.88,3198330.0,136420000.0,134220000.0,1.68,6.8,54850000.0,15.0,44.9,50620000.0
2007-10-31 12:13:05,1193803985.0,gme,44.550583,-50.3,124.809975,-36.41,9140000000.0,9500000000.0,48.77,28.19,1.75,1.54,5.91,1.6,18.797,3.2,6.47,7.95,13.86,5930000000.0,38.609,38.9,1470000000.0,505490000.0,189900000.0,1.18,586.5,349280000.0,2.196,706170000.0,0.457,1.445,9.722,416850000.0,234440000.0,1.28,55.89,43.7,2580880.0,159040000.0,144680000.0,9.46,85.6,3910000.0,1.6,2.7,4270000.0
