Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,PNC,0,0,0,0,64360000000.0,119090000000.0,12.06,11.9,1.12,3.93,1.5,7.26,,35.19,35.17,1.54,12.48,16390000000.0,34.62,7.1,15890000000.0,,5500000000.0,11.49,23.8,9930000000.0,21.38,60640000000.0,,,92.29,8020000000.0,,0.95,141.52,143.93,1990000.0,464300000.0,461430000.0,0.22,82.21,3000000.0,1.76,0.64,3980000.0
0,0,NOC,0,0,0,0,54100000000.0,69370000000.0,24.35,16.34,1.18,2.02,6.58,2.59,16.95,8.36,13.26,7.02,31.64,26770000000.0,153.65,10.0,5950000000.0,4090000000.0,2240000000.0,12.76,24.1,1540000000.0,8.84,15130000000.0,183.92,1.24,47.21,3180000000.0,620750000.0,0.65,307.1,318.75,1190000.0,174120000.0,161070000.0,0.5,82.33,2370000.0,2.21,1.54,1800000.0
0,0,ABC,0,0,0,0,19990000000.0,22150000000.0,18.95,12.96,1.38,0.12,6.47,0.14,9.29,0.66,1.16,3.26,36.96,163760000000.0,748.98,11.5,4540000000.0,2380000000.0,1080000000.0,4.88,447.8,2390000000.0,11.04,4770000000.0,145.46,0.94,14.28,2130000000.0,1800000000.0,1.23,89.17,87.34,1270000.0,216360000.0,158890000.0,26.51,68.55,3890000.0,3.53,2.42,3620000.0
0,0,MOS,0,0,0,0,12720000000.0,16960000000.0,,14.87,0.65,1.55,1.25,2.07,11.39,-1.14,8.25,2.24,-0.91,8220000000.000001,22.35,25.7,842800000.0,1490000000.0,-93400000.0,-0.25,-30.2,1040000000.0,2.69,5020000000.0,48.18,1.61,26.45,1280000000.0,373850000.0,1.61,31.55,28.73,3920000.0,385460000.0,350520000.0,9.31,79.84,10910000.0,3.08,2.84,11700000.0
0,0,ALL,0,0,0,0,34159999999.999996,39620000000.0,10.37,10.78,0.84,0.88,1.64,1.02,7.57,9.16,12.18,2.64,15.98,38940000000.0,109.53,2.9,9200000000.0,5240000000.0,3440000000.0,9.52,16.8,3610000000.0,10.43,6450000000.0,27.88,0.47,60.0,5060000000.0,3110000000.0,0.62,99.9,96.38,1700000.0,346230000.0,344980000.0,0.31,78.62,5310000.0,3.01,1.51,5230000.0
0,0,SRCL,0,0,0,0,4640000000.0,7290000000.0,28.04,11.73,1.22,1.31,1.6,2.06,10.65,5.03,11.96,3.8,6.31,3550000000.0,41.51,-3.7,1460000000.0,685300000.0,166400000.0,1.93,,45000000.0,0.52,2650000000.0,91.48,0.81,33.73,500700000.0,408150000.0,0.59,60.15,62.51,85890000.0,85890000.0,84800000.0,1.28,100.65,6080000.0,9.93,9.02,5540000.0
0,0,XEL,0,0,0,0,25140000000.0,41130000000.0,20.41,19.0,3.33,2.2,2.16,3.6,10.81,10.83,18.92,3.14,10.86,11420000000.0,22.44,0.5,4420000000.0,3800000000.0,1240000000.0,2.42,16.7,344000000.0,0.68,16850000000.000002,144.63,0.73,22.89,3270000000.0,-835340000.0,-0.08,47.92,46.06,3190000.0,509090000.0,507650000.0,0.22,74.87,10520000.0,3.33,2.07,12290000.0
0,0,MRK,0,0,0,0,190910000000.0,205020000000.0,148.01,15.44,2.08,4.63,5.89,4.97,17.27,3.25,17.52,5.08,3.78,41260000000.0,15.25,5.4,27620000000.0,11870000000.0,1340000000.0,0.49,-12.3,7590000000.0,2.86,23470000000.0,71.63,1.33,12.18,7380000000.0,5730000000.0,0.98,70.04,63.1,7950000.0,2660000000.0,2660000000.0,0.07,75.71,21390000.0,2.8,0.79,21900000.0
0,0,ACE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.43,,,,,,,,,
0,0,SO,0,0,0,0,45000000000.0,95430000000.0,19.21,14.74,10.76,1.89,1.9,4.01,11.82,9.86,19.09,2.57,9.14,23830000000.0,23.63,3.6,10210000000.0,8070000000.0,2350000000.0,2.31,,1980000000.0,1.95,49700000000.0,183.97,0.81,23.31,6910000000.0,-4230000000.0000005,-0.12,44.079,45.287,6230000.0,1010000000.0,1010000000.0,0.06,60.79,28200000.0,4.33,2.8,36050000.0
0,0,WFC,0,0,0,0,257519999999.99997,270160000000.00003,13.61,10.34,1.29,3.01,1.43,3.16,,24.58,36.55,1.13,10.42,85500000000.0,17.44,-2.7,85860000000.0,,19400000000.0,3.93,-11.4,343310000000.0,71.28,332290000000.0,,,37.43,24290000000.0,,1.35,55.88,55.1,18960000.0,4820000000.0,4330000000.0,77.8,0.0,29730000.0,1.6,0.61,27440000.0
0,0,TXT,0,0,0,0,17040000000.0,20980000000.0,38.79,18.44,1.55,1.17,3.18,1.45,13.34,3.21,7.77,4.65,8.44,14520000000.0,55.73,3.4,2370000000.0,1570000000.0,466000000.0,1.77,46.4,554000000.0,2.23,3890000000.0,72.51,2.27,21.54,1110000000.0,584000000.0,1.32,70.4,66.38,1530000.0,248410000.0,247510000.0,0.21,83.35,7350000.0,5.34,3.27,7420000.0
0,0,NEM,0,0,0,0,16360000000.0,18270000000.0,100.57,21.16,8.9,2.25,1.51,2.52,6.53,2.26,21.72,4.72,1.28,7260000000.0,13.61,-11.4,3330000000.0,2800000000.0,124000000.0,0.31,66.9,3180000000.0,5.97,4120000000.0,34.83,4.6,20.29,2100000000.0,1370000000.0,0.28,30.82,36.37,5400000.0,533400000.0,531350000.0,0.26,86.43,9220000.0,1.52,2.31,9480000.0
0,0,LSI,0,0,0,0,4360000000.0,6020000000.0,33.64,27.45,5.74,8.65,2.15,11.94,19.15,25.74,42.88,3.48,6.35,504010000.0,10.85,4.5,317600000.0,314200000.0,129740000.00000001,2.78,102.9,7500000.0,0.16,1740000000.0,85.32,0.4,43.32,250380000.0,202340000.0,0.61,96.1,93.5,46430000.0,46430000.0,45730000.0,1.69,102.4,2680000.0,7.48,8.08,2260000.0
0,0,CLX,0,0,0,0,19070000000.0,21510000000.0,23.85,21.83,3.77,3.11,26.32,3.51,16.75,13.44,18.44,14.65,129.81,6120000000.0,47.37,2.7,2670000000.0,1280000000.0,823000000.0,6.26,8.0,131000000.0,1.02,2480000000.0,342.01,1.09,5.67,974000000.0,589500000.0,0.36,148.89,133.41,1080000.0,127690000.0,127780000.0,0.11,80.47,9370000.0,11.2,8.29,9460000.0
0,0,NUE,0,0,0,0,19480000000.0,23500000000.0,11.81,9.4,0.72,0.87,2.08,1.05,7.89,7.52,10.11,8.39,19.03,22290000000.0,69.82,24.9,2570000000.0,2980000000.0,1670000000.0,5.216,111.5,1490000000.0,4.7,4290000000.0,44.08,3.06,29.63,1570000000.0,692510000.0,1.66,63.658,63.854,2250000.0,316340000.0,315150000.0,0.49,80.43,5000000.0,2.25,1.58,4370000.0
0,0,LOW,0,0,0,0,87390000000.0,102260000000.0,22.67,17.93,1.4,1.24,15.12,1.45,12.71,5.58,9.25,11.05,69.54,70510000000.0,85.57,7.1,23410000000.0,8050000000.000001,3920000000.0,4.754,7.1,2270000000.0,2.81,15830000000.0,273.85,1.06,7.13,5780000000.0,3470000000.0,1.71,111.3151,97.7082,4530000.0,811000000.0,806970000.0,0.16,74.97,12040000.0,2.27,1.46,8930000.0
0,0,MOLX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,JWN,0,0,0,0,10380000000.0,11550000000.0,20.32,16.29,1.82,0.65,9.04,0.72,7.04,3.21,6.0,7.18,53.3,15960000000.0,95.39,7.2,,1640000000.0,513000000.0,3.03,47.3,1340000000.0,7.97,2730000000.0,239.82,1.1,6.81,1420000000.0,658500000.0,0.81,62.25,53.57,2750000.0,168560000.0,117590000.0,31.77,59.38,18110000.0,4.79,15.43,17940000.0
0,0,AXP,0,0,0,0,90510000000.0,120110000000.0,27.74,13.07,1.24,2.84,4.33,3.77,,10.66,24.72,1.93,16.16,31880000000.0,36.85,7.1,21420000000.0,,3290000000.0,3.79,20.8,30120000000.0,34.98,57900000000.0,277.13,1.94,24.26,14350000000.0,,1.15,107.64,101.19,2960000.0,861050000.0,706760000.0,0.27,84.65,5880000.0,2.18,0.83,5790000.0
0,0,DTE,0,0,0,0,20680000000.0,33880000000.000004,17.77,18.09,3.37,1.54,2.1,2.52,13.52,8.58,11.95,3.0,11.36,13430000000.0,74.81,10.6,3090000000.0,2510000000.0,1150000000.0,6.4,32.2,63000000.0,0.35,13180000000.0,127.78,1.16,54.16,2370000000.0,-643370000.0,0.06,111.09,105.83,1090000.0,181770000.0,180590000.0,0.54,73.4,5420000.0,5.71,3.41,4540000.0
0,0,GS,0,0,0,0,82610000000.0,-231300000000.0,17.47,8.65,0.29,2.32,1.1,-6.5,,15.72,36.51,0.6,6.39,35600000000.0,91.01,19.2,28640000000.0,,4960000000.0,12.52,40.1,777380000000.0,2058.98,445200000000.0,506.12,1.86,199.52,3990000000.0,,1.31,232.47,235.51,2710000.0,377560000.0,337460000.0,1.28,77.43,4650000.0,1.9,1.25,5100000.0
0,0,KIM,0,0,0,0,6640000000.0,11550000000.0,14.72,24.95,3.5,5.5,1.22,9.56,15.3,42.68,37.8,2.5,9.37,1210000000.0,2.86,-1.3,889710000.0,754930000.0,453240000.0,1.07,15.3,305580000.0,0.73,5070000000.0,92.07,3.85,12.84,666130000.0,470570000.0,0.51,16.77,15.89,3260000.0,421380000.0,400600000.0,2.79,88.86,17250000.0,5.7,5.19,15450000.0
0,0,LLTC,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,NOV,0,0,0,0,16770000000.0,18720000000.0,,42.98,7.92,2.18,1.21,2.43,29.76,-1.09,-0.87,-0.21,-0.59,7700000000.0,20.44,19.7,892000000.0,629000000.0,-84000000.0,-0.23,,1140000000.0,2.97,2720000000.0,19.44,3.19,36.34,663000000.0,694880000.0,0.83,44.69,42.52,3220000.0,382620000.0,381660000.0,0.32,98.78,17790000.0,6.66,5.21,19320000.0
0,0,MCP,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,PBCT,0,0,0,0,6380000000.0,11010000000.0,14.77,11.97,6.67,4.23,1.04,7.3,,27.53,42.47,0.95,7.16,1510000000.0,4.45,8.6,1430000000.0,,400800000.0,1.17,59.0,778900000.0,2.28,5710000000.0,,,16.56,666100000.0,,1.07,17.96,18.38,2930000.0,370420000.0,338890000.0,0.73,80.87,22590000.0,9.65,8.6,21840000.0
0,0,TRV,0,0,0,0,35220000000.0,37300000000.0,17.83,11.63,0.78,1.19,1.56,1.26,9.89,6.9,10.01,1.79,8.77,29540000000.0,108.76,4.1,7270000000.0,3770000000.0,2020000000.0,7.38,-11.9,4110000000.0000005,15.34,6460000000.0,28.57,0.4,84.51,3710000000.0,9880000000.0,1.38,130.77,130.27,1390000.0,267680000.0,266800000.0,0.47,80.54,4019999.9999999995,3.12,1.49,3520000.0
0,0,AIG,0,0,0,0,47270000000.0,62890000000.0,,9.82,0.35,0.99,0.78,1.32,9.73,-13.65,3.79,0.23,-9.55,47780000000.0,52.69,-6.9,11700000000.0,6470000000.0,-6520000000.0,-7.2,-17.1,19130000000.0,21.53,33780000000.0,54.67,0.69,68.65,111000000.0,77030000000.0,1.24,53.56,53.9,4320000.0,888450000.0,887780000.0,0.1,92.16,21200000.0,5.14,2.35,16960000.0
0,0,CMCSA,0,0,0,0,160340000000.0,219600000000.0,6.88,12.54,0.86,1.84,2.27,2.52,7.74,27.48,20.53,5.98,36.95,87180000000.0,18.76,2.1,59140000000.0,28390000000.0,23950000000.0,5.09,27.6,5730000000.0,1.25,64580000000.0,88.36,0.96,15.43,23190000000.0,9220000000.0,1.43,36.15,34.03,20250000.0,4570000000.0,4540000000.0,0.68,83.75,66349999.99999999,4.32,1.45,62180000.0
0,0,PEG,0,0,0,0,27840000000.0,40950000000.0,12.84,16.65,2.75,3.03,1.96,4.46,15.35,23.71,15.21,2.07,16.09,9190000000.0,18.21,-5.9,3450000000.0,2670000000.0,2180000000.0,4.29,146.8,95000000.0,0.19,14330000000.0,101.21,0.71,28.09,3140000000.0,-2420000000.0,0.19,52.56,51.79,2770000.0,505320000.0,504360000.0,0.14,72.05,8330000.0,3.26,1.66,8790000.0
0,0,ORCL,0,0,0,0,182840000000.0,185640000000.0,50.91,13.22,1.71,4.58,4.83,4.65,11.49,9.89,35.86,6.83,8.31,39920000000.0,9.84,1.0,31750000000.0,16149999999.999998,3950000000.0,0.95,5.6,60090000000.0,15.86,58300000000.0,151.18,3.42,9.99,15540000000.0,10560000000.0,1.1,49.5,47.39,18260000.0,3790000000.0,2650000000.0,28.61,57.69,48300000.0,3.15,1.59,51140000.0
0,0,VMC,0,0,0,0,14040000000.0,17720000000.0,22.02,20.03,0.86,3.4,2.8,4.29,17.66,15.72,16.44,4.3,13.55,4130000000.0,31.14,16.4,1000000000.0,1000000000.0,651820000.0,4.821,32.9,55060000.0,0.42,3140000000.0,62.48,1.46,37.96,765220000.0,157200000.0,1.03,111.7026,119.0841,1250000.0,132270000.00000001,131860000.00000001,0.24,99.54,5350000.0,5.21,4.52,5450000.0
0,0,NVDA,0,0,0,0,154910000000.0,158130000000.0,37.14,31.73,2.12,13.04,17.61,13.31,34.09,36.21,37.22,24.79,58.25,11880000000.0,19.63,40.0,5820000000.0,4640000000.0,4300000000.0,6.861,88.9,7940000000.0,13.06,2000000000.0,22.75,7.41,14.47,4870000000.0,2520000000.0,2.05,272.9086,252.2125,9580000.0,608000000.0,583140000.0,4.27,68.07,13460000.0,1.07,2.32,11890000.0
0,0,WYN,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ARG,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ACI,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.19,211.19,,,,,,,,,
0,0,HAS,0,0,0,0,12660000000.0,13430000000.0,60.59,18.71,10.14,2.53,7.19,2.68,16.38,4.16,13.11,8.19,11.56,5010000000.0,40.03,-7.0,2730000000.0,820160000.0,208090000.0,1.65,-11.0,1180000000.0,9.32,1710000000.0,97.04,2.69,13.88,599070000.0,562810000.0,0.49,103.08,94.12,1170000.0,126940000.0,117030000.0,8.7,84.46,8310000.000000001,10.54,8.19,7650000.0
0,0,FL,0,0,0,0,5550000000.0,4800000000.0,19.03,10.0,1.3,0.7,2.25,0.61,5.23,3.88,9.37,11.88,11.38,7890000000.0,65.51,4.8,3340000000.0,918000000.0,306000000.0,2.54,72.5,950000000.0,8.27,124000000.0,5.0,3.5,21.47,989000000.0,688370000.0,0.76,48.72,48.83,3140000.0,114900000.0,113950000.0,23.67,8.98,11750000.0,2.69,11.2,12500000.0
0,0,WDC,0,0,0,0,16000000000.0,22490000000.0,25.06,4.69,0.88,0.78,1.42,1.09,3.82,3.27,18.6,8.12,5.88,20650000000.0,69.52,5.7,7710000000.0,5890000000.0,675000000.0,2.2,170.0,5040000000.0,17.31,11170000000.0,96.89,2.39,38.96,4200000000.0,3040000000.0,0.39,59.44,75.19,4340000.0,290200000.0,289870000.0,0.34,84.86,9490000.0,2.11,3.68,9020000.0
0,0,PVTB,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,BMC,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13811.29,13811.29,,,,,,,,,
0,0,GRMN,0,0,0,0,12350000000.0,11830000000.0,20.63,19.29,3.64,3.83,3.28,3.67,14.91,18.61,21.8,9.01,16.55,3220000000.0,17.12,7.6,1780000000.0,793560000.0,599290000.0,3.17,7.6,1120000000.0,5.93,,,2.5,19.91,835080000.0,374630000.0,0.78,68.23,62.95,1110000.0,188800000.0,132110000.00000001,31.99,43.13,9980000.0,8.82,8.4,9900000.0
0,0,CNX,0,0,0,0,3110000000.0,6020000000.0,4.01,19.72,0.45,2.18,0.72,4.22,7.36,57.5,24.57,2.54,19.09,1430000000.0,6.38,36.7,641710000.0,818700000.0,833810000.0,3.64,-75.2,54850000.0,0.26,2350000000.0,46.73,0.67,20.19,799150000.0,-327860000.0,-0.4,14.87,15.85,2350000.0,213060000.0,211630000.0,1.54,102.12,11620000.0,6.07,7.1,10950000.0
0,0,IP,0,0,0,0,18070000000.0,30380000000.0,6.19,7.91,0.57,0.8,2.64,1.34,8.37,13.18,9.73,4.07,45.95,22680000000.0,54.9,8.4,6460000000.0,3630000000.0,2620000000.0,7.14,406.2,1070000000.0000001,2.62,11490000000.0,167.38,1.58,16.74,1940000000.0,567250000.0,1.65,51.34,52.9,2540000.0,408880000.0,402810000.0,1.99,84.16,7480000.0,3.62,1.93,7140000.0
0,0,CMG,0,0,0,0,12260000000.0,11920000000.0,73.06,36.67,2.1,2.63,8.81,2.56,22.99,3.65,7.29,10.11,11.94,4650000000.0,165.74,8.3,1410000000.0,518490000.0,169730000.0,6.03,-29.7,573930000.0,20.64,,,2.03,50.05,518900000.0,246700000.0,0.48,478.45,438.65,27800000.0,27800000.0,25410000.0,2.55,59.53,2290000.0,2.93,9.29,2520000.0
0,0,ARNA,0,0,0,0,1940000000.0,1430000000.0,,-11.24,0.66,82.53,3.47,60.61,-14.86,0.0,-424.9,-15.11,-35.08,23530000.0,0.56,110.4,-49650000.0,-95980000.0,-111920000.0,-2.64,,592410000.0,12.01,59770000.0,10.7,28.75,11.32,-91960000.0,-69630000.0,1.79,41.0,41.79,49350000.0,49350000.0,46720000.0,0.15,84.38,3080000.0,6.92,7.04,3010000.0
0,0,DSW,0,0,0,0,2330000000.0,2280000000.0,2640.91,15.53,2.39,0.8,2.54,0.78,8.26,0.06,6.79,8.62,0.19,2930000000.0,36.6,16.4,1000000000.0,275400000.0,1750000.0,0.01,,289120000.0,3.6,,,2.6,11.45,252950000.0,140210000.0,0.27,31.73,26.73,1750000.0,72560000.0,68750000.0,6.91,103.02,8380000.000000001,3.31,16.32,7920000.0
0,0,ESRX,0,0,0,0,54370000000.0,66040000000.00001,11.78,10.14,1.02,0.54,2.81,0.66,9.14,4.65,5.5,6.57,26.65,100470000000.0,177.72,1.2,8760000000.0,7230000000.0,4670000000.0,8.21,9.4,2940000000.0,5.23,14990000000.0,77.37,0.71,34.46,5500000000.0,5240000000.0,1.19,91.97,80.59,4340000.0,562120000.0,560410000.0,0.45,86.81,13650000.0,3.44,2.43,16239999.999999998
0,0,CFN,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,PH,0,0,0,0,23070000000.0,28250000000.0,22.25,13.97,1.88,1.61,3.94,1.98,11.62,7.42,13.73,7.97,19.07,14300000000.0,107.53,9.2,3580000000.0,2430000000.0,1060000000.0,7.83,20.4,855130000.0,6.46,4960000000.0,84.51,1.59,44.25,1600000000.0,1290000000.0,1.25,181.36,171.75,1080000.0,132419999.99999999,131580000.00000001,0.46,84.09,2940000.0,3.31,2.23,2580000.0
0,0,CCI,0,0,0,0,45720000000.0,60860000000.0,115.41,64.84,4.19,9.27,3.64,12.34,22.72,10.29,26.48,2.87,5.04,4930000000.0,12.14,28.1,2790000000.0,2680000000.0,392260000.0,0.95,60.7,206000000.0,0.5,15960000000.0,126.98,0.9,30.28,2220000000.0,562300000.0,0.37,111.65,107.78,1960000.0,414840000.0,413200000.0,0.34,98.19,10190000.0,5.89,2.47,10500000.0
0,0,AEE,0,0,0,0,16250000000.0,25160000000.0,26.41,20.43,2.85,2.69,2.2,4.16,10.19,10.22,24.59,3.58,8.42,6050000000.0,24.89,1.0,2830000000.0,2470000000.0,618000000.0,2.52,23.8,29000000.0,0.12,8970000000.0,119.1,0.62,30.27,2060000000.0,-600880000.0,0.12,64.27,60.3,1480000.0,244040000.0,242980000.0,0.36,70.93,5920000.0,3.93,2.75,4050000.0
0,0,JBL,0,0,0,0,4099999999.9999995,5570000000.0,49.62,7.3,0.74,0.19,2.08,0.25,4.12,0.39,2.62,3.13,4.04,22100000000.0,128.29,14.9,1710000000.0,1350000000.0,86330000.0,0.49,,1260000000.0,7.53,2520000000.0,128.28,1.04,11.68,933850000.0,17370000.0,0.33,28.43,28.261,1580000.0,168440000.0,149660000.0,8.34,92.89,4660000.0,3.92,3.14,4970000.0
0,0,EBAY,0,0,0,0,31960000000.0,37140000000.0,,12.52,1.02,3.18,4.47,3.69,12.38,-10.24,22.92,5.6,-11.07,10070000000.0,9.82,9.1,7340000000.0,3000000000.0,-1030000000.0,-1.01,2113.8,4010000000.0,4.05,9240000000.0,129.32,2.37,7.22,2730000000.0,1700000000.0,1.45,33.85,36.7,10540000.0,989550000.0,928630000.0,6.17,87.17,19600000.0,2.65,1.98,25860000.0
0,0,OI,0,0,0,0,2960000000.0,8480000000.0,22.2,6.17,0.9,0.42,3.8,1.21,8.64,1.98,7.76,3.47,20.02,7010000000.0,43.17,1.2,1130000000.0,981000000.0,143000000.0,0.84,-64.3,365000000.0,2.29,5680000000.0,631.37,1.21,4.89,726000000.0,278120000.0,1.19,18.6,18.76,1210000.0,159250000.0,149050000.0,0.5,97.78,5050000.0,5.2,3.48,5450000.0
0,0,STX,0,0,0,0,12760000000.0,16440000000.000002,10.94,7.33,1.04,1.14,7.64,1.47,7.06,10.57,15.47,11.58,78.05,11180000000.0,38.83,17.8,3370000000.0,2330000000.0,1180000000.0,4.05,304.4,1850000000.0,6.44,4820000000.0,289.43,1.3,5.8,2109999999.9999998,1350000000.0,1.5,49.89,55.24,3560000.0,287910000.0,260149999.99999997,73.62,0.0,28040000.0,7.06,12.56,21920000.0
0,0,UNM,0,0,0,0,8730000000.0,10290000000.0,8.28,7.33,0.86,0.76,0.92,0.9,6.16,9.42,13.72,1.56,11.49,11450000000.0,51.35,2.4,3270000000.0,1670000000.0,1080000000.0,4.82,16.5,1530000000.0,7.01,3200000000.0,33.93,8.48,43.2,1200000000.0,505300000.0,1.4,37.73,39.77,2040000.0,218700000.0,217890000.0,0.44,97.06,5500000.0,2.99,2.81,5580000.0
0,0,HAR,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
